prijmeni	jmeno	strana	id
Zemek	Václav	ČSSD	id_0748
Bartoš	Walter 	ODS	id_0019
Baštýř	Václav	ODS	id_0024
Bauer	Jan	ODS	id_0025
Bém	Pavel	ODS	id_0031
Benda	Marek	ODS	id_0032
Bendl	Petr	ODS	id_0034
Boháč	Zdeněk	ODS	id_0053
Bureš	Jan	ODS	id_0076
Čechlovský	Jan	ODS	id_0088
Černochová	Jana	ODS	id_0095
Dědič	František	ODS	id_0107
Doktor	Michal	ODS	id_0114
Drobil	Pavel	ODS	id_0125
Fiala	Radim	ODS	id_0138
Filipi	Dana	ODS	id_0143
Fischerová	Jana	ODS	id_0146
Florián	Jan	ODS	id_0148
Fuksa	Ivan	ODS	id_0154
Gandalovič	Petr	ODS	id_0157
Horníková	Zdeňka	ODS	id_0206
Chalupa	Tomáš	ODS	id_0223
Jeník	Miroslav	ODS	id_0240
Jirout	Radim	ODS	id_0247
Kohoutová	Lenka	ODS	id_0288
Krupka	Jaroslav	ODS	id_0329
Martinů	Jaroslav	ODS	id_0392
Mencl	Václav	ODS	id_0405
Nečas	Petr	ODS	id_0424
Němcová	Miroslava	ODS	id_0430
Němeček	Vít	ODS	id_0436
Pajer	Jan	ODS	id_0467
Papež	Jiří	ODS	id_0469
Plachý	Jaroslav	ODS	id_0504
Pospíšil	Jiří	ODS	id_0521
Rádl	Aleš	ODS	id_0530
Řápková	Ivana	ODS	id_0551
Sivera	František	ODS	id_0568
Staněk	Pavel	ODS	id_0585
Stanjura	Zbyněk	ODS	id_0586
Suchánek	Pavel	ODS	id_0595
Svoboda	Pavel	ODS	id_0603
Svoják	Igor	ODS	id_0606
Šeich	David	ODS	id_0615
Šnajdr	Marek	ODS	id_0630
Šťastný	Boris	ODS	id_0638
Šulc	Jiří	ODS	id_0644
Tluchoř	Petr	ODS	id_0656
Úlehla	Tomáš	ODS	id_0670
Vidím	Jan	ODS	id_0689
Vilímec	Vladislav	ODS	id_0692
Vodrážka	David	ODS	id_0699
Weberová	Ivana	ODS	id_0726
Wenigerová	Jaroslava	ODS	id_0727
Besser	Jiří	TOP09	id_0042
Bezecný	Zdeněk	TOP09	id_0044
Bubeníková	Ludmila	TOP09	id_0071
Cempírek	Václav	TOP09	id_0083
Cogan	Josef	TOP09	id_0085
Drábek	Jaromír	TOP09	id_0122
Eček	Jaroslav	TOP09	id_0129
Farský	Jan	TOP09	id_0135
Gazdík	Petr	TOP09	id_0159
Gregora	Martin	TOP09	id_0165
Hanáková	Alena	TOP09	id_0179
Heger	Leoš	TOP09	id_0188
Horáček	Václav	TOP09	id_0205
Husák	Jan	TOP09	id_0218
Chalánková	Jitka	TOP09	id_0219
Chlad	Rudolf	TOP09	id_0224
Janek	Michal	TOP09	id_0238
Jeništa	Luděk	TOP09	id_0241
Jirků	Ladislav	TOP09	id_0245
Kalousek	Miroslav	TOP09	id_0259
Kaslová	Jana	TOP09	id_0270
Korte	Daniel	TOP09	id_0299
Kostřica	Rom	TOP09	id_0306
Kotalíková	Patricie	TOP09	id_0307
Kubata	Václav	TOP09	id_0332
Langšádlová	Helena	TOP09	id_0356
Laudát	František	TOP09	id_0360
Lobkowicz	Jaroslav	TOP09	id_0368
Lukša	Pavol	TOP09	id_0373
Oliva	Jiří	TOP09	id_0458
Parkanová	Vlasta	TOP09	id_0471
Pecková	Gabriela	TOP09	id_0483
Polčák	Stanislav	TOP09	id_0520
Putnová	Anna	TOP09	id_0528
Roztočil	Aleš	TOP09	id_0544
Schejbalová	Jaroslava	TOP09	id_0563
Schwarzenberg	Karel	TOP09	id_0566
Skalický	Jiří	TOP09	id_0761
Smutný	Jan	TOP09	id_0577
Šarapatka	Bořivoj	TOP09	id_0611
Witoszová	Renáta	TOP09	id_0729
Adam	Vojtěch	KSČM	id_0002
Bebarová Rujbrová	Zuzka	KSČM	id_0027
Braný	Petr	KSČM	id_0061
Černý	Alexander	KSČM	id_0097
Dolejš	Jiří	KSČM	id_0115
Filip	Vojtěch	KSČM	id_0142
Grebeníček	Miroslav 	KSČM	id_0163
Grospič	Stanislav	KSČM	id_0167
Halíková	Milada	KSČM	id_0175
Hojda	Pavel	KSČM	id_0194
Hubáčková	Gabriela	KSČM	id_0215
Klán	Jan	KSČM	id_0273
Konečná	Kateřina	KSČM	id_0294
Koníček	Vladimír	KSČM	id_0296
Kováčik	Pavel	KSČM	id_0315
Levá	Ivana	KSČM	id_0364
Marková	Soňa	KSČM	id_0389
Matušovská	Květa	KSČM	id_0399
Nedvědová	Marie	KSČM	id_0425
Nekl	Josef	KSČM	id_0429
Opálka	Miroslav	KSČM	id_0461
Rusová	Marie	KSČM	id_0547
Semelová	Marta	KSČM	id_0561
Šenfeld	Josef	KSČM	id_0616
Šidlo	Karel	KSČM	id_0617
Vostrá	Miloslava	KSČM	id_0711
Andrýsová	Lenka	VV	id_0007
Babák	Michal	VV	id_0012
Bárta	Vít	VV	id_0693
Dobeš	Josef	VV	id_0112
Drastichová	Jana	VV	id_0123
Fraňková	Štěpánka	VV	id_0153
Huml	Stanislav	VV	id_0762
Chaloupka	Otto	VV	id_0220
John	Radek	VV	id_0248
Kádner	David	VV	id_0254
Klasnová	Kateřina	VV	id_0276
Kočí	Kristýna	VV	id_0285
Navrátilová	Dagmar	VV	id_0422
Novotný	Josef	VV	id_0448
Paggio	Viktor	VV	id_0466
Peake	Karolína	VV	id_0481
Rusnok	Jiří	VV	id_0546
Skokan	Petr	VV	id_0571
Suchá	Jana	VV	id_0594
Škárka	Jaroslav	VV	id_0621
Štětina	Jiří	VV	id_0640
Šťovíček	Milan	VV	id_0641
Vacek	Martin	VV	id_0674
Vysloužil	Radim	VV	id_0723
